,cities,Lat,Temperature,Humidity,Cloudiness (%),Wind Speed (mph)
0,carutapera,-1.2,77.93,87.0,0.0,9.42
1,hamilton,32.3,78.8,69.0,40.0,13.87
2,shimoda,34.7,78.8,74.0,40.0,14.99
3,wattegama,7.35,83.87,66.0,64.0,7.18
4,salalah,17.01,78.8,74.0,75.0,9.17
5,iqaluit,63.75,28.7,100.0,80.0,8.63
6,rikitea,-23.12,70.37,100.0,92.0,7.4
7,kargil,34.56,33.02,94.0,92.0,1.7
8,puerto ayora,-0.74,68.48,100.0,0.0,9.53
9,ushuaia,-54.81,32.0,100.0,90.0,6.93
10,chuy,-33.69,65.24,99.0,92.0,4.16
11,dikson,73.51,41.48,91.0,92.0,8.52
12,cape town,-33.93,59.0,67.0,0.0,13.87
13,nikolskoye,59.7,50.0,87.0,20.0,15.66
14,qaanaaq,77.48,15.56,100.0,0.0,9.86
15,banfora,10.64,71.36,98.0,76.0,6.06
16,saskylakh,71.97,40.31,91.0,80.0,5.17
17,mayumba,-3.44,75.23,99.0,68.0,4.05
18,kaitangata,-46.28,45.08,90.0,92.0,13.44
19,hasaki,35.73,79.65,54.0,40.0,8.05
20,torbay,47.66,45.35,100.0,0.0,12.55
21,jamestown,-33.21,69.2,28.0,20.0,11.21
22,mahebourg,-20.41,78.8,65.0,40.0,17.22
23,kinsale,51.71,44.6,93.0,40.0,13.87
24,albany,42.65,46.98,76.0,90.0,4.7
25,hilo,19.71,75.92,79.0,75.0,4.7
26,mataura,-46.19,46.07,82.0,76.0,12.44
27,champerico,16.38,70.91,87.0,64.0,1.7
28,troitsko-pechorsk,62.71,56.87,91.0,92.0,6.06
29,komsomolskiy,67.55,54.71,97.0,92.0,15.35
30,pacifica,37.61,58.73,100.0,90.0,3.36
31,hithadhoo,-0.6,84.05,100.0,20.0,5.39
32,nicoya,10.15,73.16,96.0,56.0,2.59
33,hofn,64.25,38.6,100.0,0.0,4.61
34,upernavik,72.79,27.8,100.0,20.0,7.63
35,beringovskiy,63.05,45.17,98.0,92.0,14.12
36,klaksvik,62.23,39.2,86.0,56.0,14.99
37,aswan,24.09,83.87,36.0,0.0,7.4
38,thompson,55.74,22.13,100.0,0.0,2.82
39,flinders,-34.58,60.8,63.0,90.0,11.41
40,leningradskiy,69.38,40.67,100.0,92.0,0.92
41,busselton,-33.64,65.87,88.0,32.0,11.21
42,hambantota,6.12,82.25,95.0,64.0,11.54
43,hobart,-42.88,48.2,57.0,75.0,19.46
44,paamiut,61.99,42.65,87.0,88.0,44.65
45,luderitz,-26.65,53.18,84.0,0.0,17.81
46,hermanus,-34.42,41.66,94.0,20.0,2.71
47,maine-soroa,13.21,78.02,46.0,80.0,6.96
48,huejuquilla el alto,22.63,55.25,98.0,36.0,2.26
49,vaini,15.34,79.37,75.0,32.0,4.83
50,lagoa,37.14,71.6,49.0,0.0,2.24
51,souillac,45.6,67.01,88.0,90.0,11.41
52,avarua,-21.21,71.6,83.0,75.0,13.87
53,adrar,27.87,80.6,34.0,40.0,11.41
54,lucea,18.44,80.6,78.0,20.0,6.93
55,slyudyanka,51.66,54.44,72.0,0.0,3.83
56,portland,45.52,52.41,74.0,1.0,2.37
57,punta arenas,-53.16,33.8,59.0,75.0,9.17
58,ahipara,-35.17,55.61,90.0,48.0,12.66
59,longyearbyen,78.22,35.6,69.0,75.0,28.86
60,ponta delgada,37.73,68.0,88.0,20.0,3.36
